Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
13/01/2019 02:18,13/01/2019 03:18,77
13/01/2019 03:19,13/01/2019 04:19,76
13/01/2019 04:19,13/01/2019 05:19,75
13/01/2019 05:19,13/01/2019 06:19,77
13/01/2019 06:19,13/01/2019 07:19,75
13/01/2019 07:19,13/01/2019 08:20,76
13/01/2019 08:20,13/01/2019 09:20,74
13/01/2019 09:20,13/01/2019 10:20,77
13/01/2019 10:20,13/01/2019 11:20,79
13/01/2019 11:20,13/01/2019 12:20,76
13/01/2019 12:20,13/01/2019 13:21,79
13/01/2019 13:21,13/01/2019 14:21,78
13/01/2019 14:21,13/01/2019 15:21,78
13/01/2019 15:21,13/01/2019 16:21,77
13/01/2019 16:21,13/01/2019 17:21,78
13/01/2019 17:22,13/01/2019 18:22,79
13/01/2019 18:22,13/01/2019 19:22,75
13/01/2019 19:22,13/01/2019 20:22,75
13/01/2019 20:22,13/01/2019 21:22,76
13/01/2019 21:22,13/01/2019 22:23,78
13/01/2019 22:23,13/01/2019 23:23,78
13/01/2019 23:23,14/01/2019 00:23,76
14/01/2019 00:23,14/01/2019 01:23,75
14/01/2019 01:23,14/01/2019 02:23,75
14/01/2019 02:24,14/01/2019 03:24,76
14/01/2019 03:24,14/01/2019 04:24,78
14/01/2019 04:24,14/01/2019 05:24,78
14/01/2019 05:24,14/01/2019 06:24,75
14/01/2019 06:24,14/01/2019 07:25,80
14/01/2019 07:25,14/01/2019 08:25,76
14/01/2019 08:25,14/01/2019 09:25,79
14/01/2019 09:25,14/01/2019 10:25,77
14/01/2019 10:25,14/01/2019 11:25,78
14/01/2019 11:25,14/01/2019 12:26,77
14/01/2019 12:26,14/01/2019 13:26,78
14/01/2019 13:26,14/01/2019 14:26,78
14/01/2019 14:26,14/01/2019 15:26,80
14/01/2019 15:26,14/01/2019 16:26,89
14/01/2019 16:27,14/01/2019 17:27,86
14/01/2019 17:27,14/01/2019 18:27,81
14/01/2019 18:27,14/01/2019 19:27,77
14/01/2019 19:27,14/01/2019 20:27,84
14/01/2019 20:27,14/01/2019 21:28,87
14/01/2019 21:28,14/01/2019 22:28,82
14/01/2019 22:28,14/01/2019 23:28,82
14/01/2019 23:28,15/01/2019 00:28,84
15/01/2019 00:28,15/01/2019 01:28,83
15/01/2019 01:29,15/01/2019 02:29,82
15/01/2019 02:29,15/01/2019 03:29,77
15/01/2019 03:29,15/01/2019 04:29,76
15/01/2019 04:29,15/01/2019 05:29,73
15/01/2019 05:29,15/01/2019 06:30,75
15/01/2019 06:30,15/01/2019 07:30,77
15/01/2019 07:30,15/01/2019 08:30,75
