Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
15/01/2019 06:24,15/01/2019 07:25,37
15/01/2019 07:25,15/01/2019 08:25,37
15/01/2019 08:25,15/01/2019 09:25,37
15/01/2019 09:25,15/01/2019 10:25,38
15/01/2019 10:25,15/01/2019 11:26,38
15/01/2019 11:26,15/01/2019 12:26,37
15/01/2019 12:26,15/01/2019 13:26,37
15/01/2019 13:26,15/01/2019 14:26,36
15/01/2019 14:26,15/01/2019 15:26,36
15/01/2019 15:26,15/01/2019 16:27,37
15/01/2019 16:27,15/01/2019 17:27,37
15/01/2019 17:27,15/01/2019 18:27,35
15/01/2019 18:27,15/01/2019 19:27,37
15/01/2019 19:27,15/01/2019 20:28,36
15/01/2019 20:28,15/01/2019 21:28,36
15/01/2019 21:28,15/01/2019 22:28,37
15/01/2019 22:28,15/01/2019 23:28,38
15/01/2019 23:28,16/01/2019 00:28,41
16/01/2019 00:29,16/01/2019 01:29,37
16/01/2019 01:29,16/01/2019 02:29,39
16/01/2019 02:29,16/01/2019 03:29,36
16/01/2019 03:29,16/01/2019 04:29,38
16/01/2019 04:29,16/01/2019 05:30,38
16/01/2019 05:30,16/01/2019 06:30,38
16/01/2019 06:30,16/01/2019 07:30,38
16/01/2019 07:30,16/01/2019 08:30,38
16/01/2019 08:30,16/01/2019 09:31,42
16/01/2019 09:31,16/01/2019 10:31,42
16/01/2019 10:31,16/01/2019 11:31,42
16/01/2019 11:31,16/01/2019 12:31,40
16/01/2019 12:31,16/01/2019 13:31,41
16/01/2019 13:31,16/01/2019 14:32,40
16/01/2019 14:32,16/01/2019 15:32,40
16/01/2019 15:32,16/01/2019 16:32,42
16/01/2019 16:32,16/01/2019 17:32,42
16/01/2019 17:32,16/01/2019 18:33,41
16/01/2019 18:33,16/01/2019 19:33,39
16/01/2019 19:33,16/01/2019 20:33,38
16/01/2019 20:33,16/01/2019 21:33,38
16/01/2019 21:33,16/01/2019 22:33,38
16/01/2019 22:34,16/01/2019 23:34,39
16/01/2019 23:34,17/01/2019 00:34,38
17/01/2019 00:34,17/01/2019 01:34,39
17/01/2019 01:34,17/01/2019 02:34,38
17/01/2019 02:34,17/01/2019 03:35,38
17/01/2019 03:35,17/01/2019 04:35,40
17/01/2019 04:35,17/01/2019 05:35,37
17/01/2019 05:35,17/01/2019 06:35,37
17/01/2019 06:35,17/01/2019 07:35,38
17/01/2019 07:36,17/01/2019 08:36,40
17/01/2019 08:36,17/01/2019 09:36,38
17/01/2019 09:36,17/01/2019 10:36,38
17/01/2019 10:36,17/01/2019 11:36,37
17/01/2019 11:36,17/01/2019 12:37,38
17/01/2019 12:37,17/01/2019 13:37,39
17/01/2019 14:07,17/01/2019 15:07,39
17/01/2019 15:07,17/01/2019 16:08,41
17/01/2019 16:08,17/01/2019 17:08,38
17/01/2019 17:08,17/01/2019 18:08,41
17/01/2019 18:08,17/01/2019 19:08,40
17/01/2019 19:08,17/01/2019 20:09,40
17/01/2019 20:09,17/01/2019 21:09,40
17/01/2019 21:09,17/01/2019 22:09,41
17/01/2019 22:09,17/01/2019 23:09,40
17/01/2019 23:09,18/01/2019 00:09,40
18/01/2019 00:10,18/01/2019 01:10,40
18/01/2019 01:10,18/01/2019 02:10,41
18/01/2019 02:10,18/01/2019 03:10,41
18/01/2019 03:10,18/01/2019 04:10,39
18/01/2019 04:10,18/01/2019 05:11,40
18/01/2019 05:11,18/01/2019 06:11,40
18/01/2019 06:11,18/01/2019 07:11,39
18/01/2019 07:11,18/01/2019 08:11,40
18/01/2019 08:11,18/01/2019 09:11,39
18/01/2019 09:12,18/01/2019 10:12,41
18/01/2019 10:12,18/01/2019 11:12,42
18/01/2019 11:12,18/01/2019 12:12,40
18/01/2019 12:12,18/01/2019 13:12,45
18/01/2019 13:12,18/01/2019 14:13,44
18/01/2019 14:13,18/01/2019 15:13,43
18/01/2019 15:13,18/01/2019 16:13,50
18/01/2019 16:13,18/01/2019 17:13,50
18/01/2019 17:13,18/01/2019 18:14,44
18/01/2019 18:14,18/01/2019 19:14,42
18/01/2019 19:14,18/01/2019 20:14,45
18/01/2019 20:14,18/01/2019 21:14,43
18/01/2019 21:14,18/01/2019 22:14,42
18/01/2019 22:14,18/01/2019 23:15,42
18/01/2019 23:15,19/01/2019 00:15,42
19/01/2019 00:15,19/01/2019 01:15,41
19/01/2019 01:15,19/01/2019 02:15,41
19/01/2019 02:15,19/01/2019 03:16,41
19/01/2019 03:16,19/01/2019 04:16,42
19/01/2019 04:16,19/01/2019 05:16,40
19/01/2019 05:16,19/01/2019 06:16,39
19/01/2019 06:16,19/01/2019 07:16,40
19/01/2019 07:17,19/01/2019 08:17,41
19/01/2019 08:17,19/01/2019 09:17,40
19/01/2019 09:17,19/01/2019 10:17,40
19/01/2019 10:17,19/01/2019 11:17,40
19/01/2019 11:17,19/01/2019 12:18,41
19/01/2019 12:18,19/01/2019 13:18,41
19/01/2019 13:18,19/01/2019 14:18,41
19/01/2019 14:18,19/01/2019 15:18,45
19/01/2019 15:18,19/01/2019 16:18,42
19/01/2019 16:19,19/01/2019 17:19,42
19/01/2019 17:19,19/01/2019 18:19,42
19/01/2019 18:19,19/01/2019 19:19,40
19/01/2019 19:19,19/01/2019 20:19,42
19/01/2019 20:19,19/01/2019 21:20,41
19/01/2019 21:20,19/01/2019 22:20,40
19/01/2019 22:20,19/01/2019 23:20,39
19/01/2019 23:20,20/01/2019 00:20,38
20/01/2019 00:20,20/01/2019 01:21,38
20/01/2019 01:21,20/01/2019 02:21,37
20/01/2019 02:21,20/01/2019 03:21,39
20/01/2019 03:21,20/01/2019 04:21,40
20/01/2019 04:21,20/01/2019 05:21,39
20/01/2019 05:22,20/01/2019 06:22,40
20/01/2019 06:22,20/01/2019 07:22,39
20/01/2019 07:22,20/01/2019 08:22,38
20/01/2019 08:22,20/01/2019 09:22,37
20/01/2019 09:22,20/01/2019 10:23,38
20/01/2019 10:23,20/01/2019 11:23,39
20/01/2019 11:23,20/01/2019 12:23,39
20/01/2019 12:23,20/01/2019 13:23,39
20/01/2019 13:23,20/01/2019 14:23,37
20/01/2019 14:24,20/01/2019 15:24,39
20/01/2019 15:24,20/01/2019 16:24,40
20/01/2019 16:24,20/01/2019 17:24,37
20/01/2019 17:24,20/01/2019 18:24,38
20/01/2019 18:24,20/01/2019 19:25,39
20/01/2019 19:25,20/01/2019 20:25,39
20/01/2019 20:25,20/01/2019 21:25,38
20/01/2019 21:25,20/01/2019 22:25,37
20/01/2019 22:25,20/01/2019 23:26,37
20/01/2019 23:26,21/01/2019 00:26,36
21/01/2019 00:26,21/01/2019 01:26,37
21/01/2019 01:26,21/01/2019 02:26,37
