Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
10/02/2019 10:53,10/02/2019 11:53,89
10/02/2019 11:53,10/02/2019 12:53,89
10/02/2019 12:53,10/02/2019 13:54,88
10/02/2019 13:54,10/02/2019 14:54,92
10/02/2019 14:54,10/02/2019 15:54,91
10/02/2019 15:54,10/02/2019 16:54,89
10/02/2019 16:54,10/02/2019 17:54,88
10/02/2019 17:55,10/02/2019 18:55,91
10/02/2019 18:55,10/02/2019 19:55,90
10/02/2019 19:55,10/02/2019 20:55,89
10/02/2019 20:55,10/02/2019 21:55,87
10/02/2019 21:55,10/02/2019 22:56,89
10/02/2019 22:56,10/02/2019 23:56,91
10/02/2019 23:56,11/02/2019 00:56,90
11/02/2019 00:56,11/02/2019 01:56,91
11/02/2019 01:56,11/02/2019 02:57,88
11/02/2019 02:57,11/02/2019 03:57,87
11/02/2019 03:57,11/02/2019 04:57,88
11/02/2019 04:57,11/02/2019 05:57,90
11/02/2019 05:57,11/02/2019 06:57,88
11/02/2019 06:57,11/02/2019 07:58,88
11/02/2019 07:58,11/02/2019 08:58,91
11/02/2019 08:58,11/02/2019 09:58,92
11/02/2019 09:58,11/02/2019 10:58,89
11/02/2019 10:58,11/02/2019 11:59,88
11/02/2019 11:59,11/02/2019 12:59,86
11/02/2019 12:59,11/02/2019 13:59,89
11/02/2019 14:31,11/02/2019 15:32,96
11/02/2019 15:32,11/02/2019 16:32,89
11/02/2019 16:32,11/02/2019 17:32,90
11/02/2019 17:32,11/02/2019 18:32,88
11/02/2019 18:32,11/02/2019 19:32,89
11/02/2019 19:33,11/02/2019 20:33,88
11/02/2019 20:33,11/02/2019 21:33,85
11/02/2019 21:33,11/02/2019 22:33,86
11/02/2019 22:33,11/02/2019 23:33,89
11/02/2019 23:33,12/02/2019 00:34,85
12/02/2019 00:34,12/02/2019 01:34,89
12/02/2019 01:34,12/02/2019 02:34,91
12/02/2019 02:34,12/02/2019 03:34,90
12/02/2019 03:34,12/02/2019 04:34,92
12/02/2019 04:35,12/02/2019 05:35,88
12/02/2019 05:35,12/02/2019 06:35,87
12/02/2019 06:35,12/02/2019 07:35,87
12/02/2019 07:35,12/02/2019 08:35,88
12/02/2019 08:35,12/02/2019 09:36,89
12/02/2019 09:36,12/02/2019 10:36,91
12/02/2019 10:36,12/02/2019 11:36,86
12/02/2019 11:36,12/02/2019 12:36,90
12/02/2019 12:36,12/02/2019 13:36,88
12/02/2019 13:37,12/02/2019 14:37,89
12/02/2019 14:37,12/02/2019 15:37,89
12/02/2019 15:37,12/02/2019 16:37,92
12/02/2019 16:37,12/02/2019 17:37,95
12/02/2019 17:37,12/02/2019 18:38,93
12/02/2019 18:38,12/02/2019 19:38,93
12/02/2019 19:38,12/02/2019 20:38,91
12/02/2019 20:38,12/02/2019 21:38,92
12/02/2019 21:38,12/02/2019 22:38,93
12/02/2019 22:39,12/02/2019 23:39,95
12/02/2019 23:39,13/02/2019 00:39,93
13/02/2019 00:39,13/02/2019 01:39,89
13/02/2019 01:39,13/02/2019 02:39,96
13/02/2019 02:39,13/02/2019 03:40,92
13/02/2019 03:40,13/02/2019 04:40,88
13/02/2019 04:40,13/02/2019 05:40,93
13/02/2019 05:40,13/02/2019 06:40,92
13/02/2019 06:40,13/02/2019 07:41,90
13/02/2019 07:41,13/02/2019 08:41,92
13/02/2019 08:41,13/02/2019 09:41,90
13/02/2019 09:41,13/02/2019 10:41,89
13/02/2019 10:41,13/02/2019 11:41,89
13/02/2019 11:41,13/02/2019 12:42,89
13/02/2019 12:42,13/02/2019 13:42,94
13/02/2019 13:42,13/02/2019 14:42,93
13/02/2019 14:42,13/02/2019 15:42,95
13/02/2019 15:42,13/02/2019 16:43,96
13/02/2019 16:43,13/02/2019 17:43,95
13/02/2019 17:43,13/02/2019 18:43,94
13/02/2019 18:43,13/02/2019 19:43,92
13/02/2019 19:43,13/02/2019 20:43,91
13/02/2019 20:43,13/02/2019 21:44,94
13/02/2019 21:44,13/02/2019 22:44,94
13/02/2019 22:44,13/02/2019 23:44,92
13/02/2019 23:44,14/02/2019 00:44,92
14/02/2019 00:44,14/02/2019 01:45,87
